Joint,Frame,TranslateX,TranslateY,TranslateZ,RotateX,RotateY,RotateZ
Head,0,-1.0756748025642082e-07,9.341923713684082,2.841040849685669,-1.3575093746185303,-3.853404998779297,-0.06793475896120071
HeadTop_End,0,9.856973974819994e-07,20.96278190612793,10.12293529510498,1.1131941385122306e-14,0.0,0.0
Hips,0,0.6137886047363281,101.67965698242188,1.3260784149169922,-1.1145154237747192,9.9846773147583,-4.906681060791016
LeftArm,0,-2.6006848567451625e-15,10.837705612182617,-9.23750732990372e-16,76.85262298583984,1.6202895641326904,-4.499645709991455
LeftFoot,0,-5.547779569070599e-09,44.52784729003906,-2.2030601897881502e-14,-1.4947130680084229,-1.3122801780700684,-0.73966383934021
LeftForeArm,0,9.038045682143673e-15,27.841522216796875,-4.311933449863527e-15,-2.995217073475942e-06,-1.8716607428359566e-06,36.305118560791016
LeftHand,0,5.438735115603777e-06,28.328834533691406,-5.564248795053572e-07,1.6067066192626953,18.644500732421875,21.113861083984375
LeftHandIndex1,0,-2.2598628997802734,9.109309196472168,0.5180343389511108,-4.006779670715332,0.320637971162796,-3.4953439235687256
LeftHandIndex2,0,-6.429325659102619e-15,3.700000047683716,-7.240397822581238e-15,16.804990768432617,0.2654004395008087,-2.477276563644409
LeftHandIndex3,0,-7.177584806887516e-13,2.8499999046325684,3.210010924604989e-14,3.8508684635162354,-0.020320206880569458,-0.1708848923444748
LeftHandIndex4,0,8.58972723678797e-13,2.7748656272888184,3.977551523825368e-14,0.0,0.0,0.0
LeftHandMiddle1,0,-3.66043605026789e-05,9.533401489257812,-3.254047260270454e-05,16.407424926757812,0.5996866822242737,-7.621162891387939
LeftHandMiddle2,0,-1.8484327787062502e-15,3.700000047683716,-4.107825614629553e-15,27.06605339050293,0.6116069555282593,-3.4456236362457275
LeftHandMiddle3,0,-2.870734899795835e-12,2.950000047683716,-1.8927174823095416e-14,15.978253364562988,0.271627277135849,-1.849052309989929
LeftHandMiddle4,0,-8.712009412492616e-12,2.9528634548187256,-1.3157034598094974e-13,0.0,0.0,0.0
LeftHandPinky1,0,3.8062632083892822,8.077778816223145,0.4868770241737366,30.54751968383789,3.4749538898468018,-13.785201072692871
LeftHandPinky2,0,-3.894070497642826e-15,3.5999999046325684,2.5409894051061158e-14,29.07789421081543,0.4866268932819367,-2.6566741466522217
LeftHandPinky3,0,2.4071784604680346e-13,2.1000001430511475,3.3381642990191335e-14,6.7220869064331055,0.07475133240222931,-1.52259361743927
LeftHandPinky4,0,1.1037364598676103e-12,2.1255314350128174,-4.760809666414997e-15,0.0,0.0,0.0
LeftHandRing1,0,1.8650810718536377,9.104528427124023,0.04302823543548584,34.277530670166016,0.8684642910957336,-8.008598327636719
LeftHandRing2,0,-3.88070050608689e-15,3.1500000953674316,-1.2637012442061942e-14,17.157617568969727,0.4217243790626526,-2.000760078430176
LeftHandRing3,0,2.6432892354932847e-06,2.950000047683716,5.209859637034242e-07,12.578688621520996,0.29868778586387634,-1.2117668390274048
LeftHandRing4,0,-2.327433139726054e-05,2.6443164348602295,-1.4607575167246978e-06,0.0,0.0,0.0
LeftHandThumb1,0,-2.6817314624786377,2.4661448001861572,1.576192855834961,-15.813188552856445,29.461435317993168,-23.410444259643555
LeftHandThumb2,0,-8.920065004019463e-15,4.187094688415527,1.185940655032934e-14,6.618041038513184,-21.299718856811523,-9.940665245056152
LeftHandThumb3,0,-1.28233482555131e-15,3.4183883666992188,5.503635877113569e-14,5.79805326461792,11.044788360595703,7.203287601470947
LeftHandThumb4,0,1.646228184153109e-14,2.5805814266204834,2.600447052245221e-15,0.0,0.0,0.0
LeftLeg,0,6.4682672551441556e-09,44.37139129638672,3.750620894047395e-14,-63.953285217285156,4.962015628814697,5.259095668792725
LeftShoulder,0,4.570446014404297,11.19564437866211,-0.8066272139549255,-1.8165612220764162,8.554368019104004,20.61121368408203
LeftToeBase,0,2.379745841574535e-15,13.816864967346191,-3.431525286905039e-15,1.5671756267547607,-2.712069999688538e-07,9.010364578898589e-07
LeftToe_End,0,-4.354517634240043e-17,9.27813720703125,-1.3126545816565145e-15,0.0,0.0,0.0
LeftUpLeg,0,8.207788467407227,-6.77180290222168,-1.5122138261795044,22.457983016967773,-0.34885916113853455,3.4703149795532227
Neck,0,4.147488463779325e-10,16.86532211303711,5.76863860499155e-14,-3.347684621810913,-1.0868085622787476,-1.0546854734420776
RightArm,0,3.151008091806912e-15,10.838175773620605,-9.694985589551032e-16,72.68798828125,-22.067054748535156,2.9438207149505615
