JointName,Frame,Translate X,Translate Y,Translate Z,Rotate X,Rotate Y,Rotate Z,Label
Head,0,-1.0756748025642082e-07,9.341923713684082,2.841040849685669,1.0656166076660156,1.7298985719680786,4.609357833862305,walkingA
HeadTop_End,0,9.856973974819994e-07,20.96278190612793,10.12293529510498,1.1131941385122306e-14,0.0,0.0,walkingA
Hips,0,0.45549511909484863,100.202392578125,1.1688448190689087,-2.4349277019500732,-0.13019099831581116,-4.482455730438232,walkingA
LeftArm,0,-2.6006848567451625e-15,10.837705612182617,-9.23750732990372e-16,70.9085693359375,-1.766242504119873,9.55754280090332,walkingA
LeftFoot,0,-5.547779569070599e-09,44.52784729003906,-2.2030601897881502e-14,5.551671028137207,4.419362545013428,3.7165980339050293,walkingA
LeftForeArm,0,9.038045682143673e-15,27.841522216796875,-4.311933449863527e-15,-0.5453541874885559,32.234291076660156,5.721920013427734,walkingA
LeftHand,0,5.438735115603777e-06,28.328834533691406,-5.564248795053572e-07,2.3521716594696045,-5.443730354309082,6.45060920715332,walkingA
LeftHandIndex1,0,-2.2598628997802734,9.109309196472168,0.5180343389511108,1.624983310699463,0.15141576528549194,-4.938445091247559,walkingA
LeftHandIndex2,0,-6.429325659102619e-15,3.700000047683716,-7.240397822581238e-15,38.249366760253906,2.8190505504608154,-1.66960608959198,walkingA
LeftHandIndex3,0,-7.177584806887516e-13,2.8499999046325684,3.210010924604989e-14,6.146026134490967,4.410241603851318,2.3124074935913086,walkingA
LeftHandIndex4,0,8.58972723678797e-13,2.7748656272888184,3.977551523825368e-14,0.0,0.0,0.0,walkingA
LeftHandMiddle1,0,-3.66043605026789e-05,9.533401489257812,-3.254047260270454e-05,16.858436584472656,0.3964149057865143,-6.163982391357422,walkingA
LeftHandMiddle2,0,-1.8484327787062502e-15,3.700000047683716,-4.107825614629553e-15,39.21647262573242,5.4137468338012695,-0.8327255845069885,walkingA
LeftHandMiddle3,0,-2.870734899795835e-12,2.950000047683716,-1.8927174823095416e-14,7.109057426452637,5.759500503540039,0.10872233659029007,walkingA
LeftHandMiddle4,0,-8.712009412492616e-12,2.9528634548187256,-1.3157034598094974e-13,0.0,0.0,0.0,walkingA
