Joint,Frame,TranslateX,TranslateY,TranslateZ,RotateX,RotateY,RotateZ
Head,0,-1.0756748025642082e-07,9.341923713684082,2.841040849685669,-3.33137845993042,4.642953872680664,-1.579015851020813
HeadTop_End,0,9.856973974819994e-07,20.96278190612793,10.12293529510498,1.1131941385122306e-14,0.0,0.0
Hips,0,0.09267527610063553,102.34242248535156,1.6136250495910645,1.9319530725479126,1.9410587549209595,-0.219423308968544
LeftArm,0,-2.6006848567451625e-15,10.837705612182617,-9.23750732990372e-16,61.30908203125001,8.198504447937012,24.71135139465332
LeftFoot,0,-5.547779569070599e-09,44.52784729003906,-2.2030601897881502e-14,-0.22902415692806244,-1.2204210758209229,-0.9044806957244873
LeftForeArm,0,9.038045682143673e-15,27.841522216796875,-4.311933449863527e-15,4.5668261918763164e-06,2.4156888684956357e-06,11.061378479003906
LeftHand,0,5.438735115603777e-06,28.328834533691406,-5.564248795053572e-07,10.390535354614258,3.2656071186065674,-3.5724947452545166
LeftHandIndex1,0,-2.2598628997802734,9.109309196472168,0.5180343389511108,17.540536880493164,-2.22804856300354,4.1636061668396
LeftHandIndex2,0,-6.429325659102619e-15,3.700000047683716,-7.240397822581238e-15,15.09402275085449,0.20258593559265137,-1.541150450706482
LeftHandIndex3,0,-7.177584806887516e-13,2.8499999046325684,3.210010924604989e-14,15.094050407409668,0.2025757133960724,-1.521545648574829
LeftHandIndex4,0,8.58972723678797e-13,2.7748656272888184,3.977551523825368e-14,0.0,0.0,0.0
LeftHandMiddle1,0,-3.66043605026789e-05,9.533401489257812,-3.254047260270454e-05,26.616230010986328,0.4335342049598694,-4.483243465423584
LeftHandMiddle2,0,-1.8484327787062502e-15,3.700000047683716,-4.107825614629553e-15,11.897907257080078,0.12613993883132935,-1.213003396987915
LeftHandMiddle3,0,-2.870734899795835e-12,2.950000047683716,-1.8927174823095416e-14,13.886848449707031,0.1716039925813675,-1.4117299318313599
LeftHandMiddle4,0,-8.712009412492616e-12,2.9528634548187256,-1.3157034598094974e-13,0.0,0.0,0.0
LeftHandPinky1,0,3.8062632083892822,8.077778816223145,0.4868770241737366,33.63252258300781,2.7526395320892334,-8.93828010559082
LeftHandPinky2,0,-3.894070497642826e-15,3.5999999046325684,2.5409894051061158e-14,17.693309783935547,0.27778345346450806,-1.7606788873672485
LeftHandPinky3,0,2.4071784604680346e-13,2.1000001430511475,3.3381642990191335e-14,17.693382263183594,0.2777847349643707,-1.7770812511444092
LeftHandPinky4,0,1.1037364598676103e-12,2.1255314350128174,-4.760809666414997e-15,0.0,0.0,0.0
LeftHandRing1,0,1.8650810718536377,9.104528427124023,0.04302823543548584,27.255460739135742,1.6219439506530762,-6.801107406616211
LeftHandRing2,0,-3.88070050608689e-15,3.1500000953674316,-1.2637012442061942e-14,19.31568717956543,0.3305720388889313,-1.942512035369873
LeftHandRing3,0,2.6432892354932847e-06,2.950000047683716,5.209859637034242e-07,21.300559997558594,0.40119844675064087,-2.1333682537078857
LeftHandRing4,0,-2.327433139726054e-05,2.6443164348602295,-1.4607575167246978e-06,0.0,0.0,0.0
LeftHandThumb1,0,-2.6817314624786377,2.4661448001861572,1.576192855834961,-8.953192710876465,7.417253017425537,-6.723850727081299
